Energy_MeV,Total_dEdx_MeV_per_cm,Mass_dEdx_MeV_cm2_per_g
225.1000,3.093193,3.093193
225.6000,3.088942,3.088942
226.6000,3.080494,3.080494
227.1000,3.076298,3.076298
228.1000,3.067959,3.067959
228.6000,3.063816,3.063816
229.6000,3.055583,3.055583
230.1000,3.051493,3.051493
231.1000,3.043365,3.043365
231.6000,3.039326,3.039326
232.6000,3.031300,3.031300
233.1000,3.027312,3.027312
234.1000,3.019386,3.019386
234.6000,3.015448,3.015448
235.6000,3.007621,3.007621
236.1000,3.003732,3.003732
237.1000,2.996002,2.996002
237.6000,2.992161,2.992161
238.6000,2.984525,2.984525
239.1000,2.980731,2.980731
240.1000,2.973190,2.973190
240.6000,2.969442,2.969442
241.6000,2.961992,2.961992
242.1000,2.958289,2.958289
243.1000,2.950929,2.950929
243.6000,2.947271,2.947271
244.6000,2.939999,2.939999
245.1000,2.936385,2.936385
246.1000,2.929201,2.929201
246.6000,2.925630,2.925630
247.6000,2.918530,2.918530
248.1000,2.915002,2.915002
249.1000,2.907986,2.907986
249.6000,2.904499,2.904499
